FullName,Assists,Goals,Role,Total Contributions
Jan Bednarek,0,0,defenders,0
Jan Boril,0,0,defenders,0
Jan Vertonghen,0,0,defenders,0
Jannik Vestergaard,0,0,defenders,0
Jason Denayer,0,0,defenders,0
Jens Stryger,1,0,defenders,1
Jens-Lys Cajuste,0,0,midfielders,0
Jere Uronen,1,0,defenders,1
Jeremy Doku,0,0,forwards,0
Joachim Andersen,0,0,defenders,0
Joakim Mæhle,1,2,defenders,3
Joe Allen,0,0,midfielders,0
Joe Morrell,1,0,midfielders,1
Joe Rodon,0,0,defenders,0
Joel Pohjanpalo,0,1,forwards,1
John McGinn,0,0,midfielders,0
John Stones,0,0,defenders,0
Jonas Wind,0,0,forwards,0
Joni Kauko,0,0,midfielders,0
Joona Toivio,0,0,midfielders,0
Jordan Henderson,0,1,midfielders,1
Jordan Pickford,0,0,goalkeepers,0
Joshua Kimmich,2,0,defenders,2
Josip Brekalo,0,0,forwards,0
Josip Juranovic,0,0,defenders,0
José Gayà,1,0,defenders,1
Joël Veltman,0,0,defenders,0
Joško Gvardiol,0,0,defenders,0
Jude Bellingham,0,0,midfielders,0
Jukka Raitala,0,0,defenders,0
Jules Koundé,0,0,defenders,0
Julian Baumgartlinger,0,0,midfielders,0
Juraj Kucka,0,0,midfielders,0
Jurriën Timber,0,0,midfielders,0
Ján Greguš,0,0,midfielders,0
Kacper Kozlowski,0,0,midfielders,0
Kai Havertz,0,2,forwards,2
Kalvin Phillips,1,0,midfielders,1
Kamil Glik,0,0,defenders,0
Kamil Józwiak,1,0,midfielders,1
Karim Benzema,0,4,forwards,4
Karim Onisiwo,0,0,midfielders,0
Karol Linetty,0,1,midfielders,1
Karol Swiderski,0,0,forwards,0
Kasper Dolberg,0,3,forwards,3
Kasper Schmeichel,0,0,goalkeepers,0
Kevin De Bruyne,2,1,midfielders,3
Kevin Mbabu,1,0,defenders,1
Kevin Nisbet,0,0,forwards,0
Kevin Varga,0,0,midfielders,0
Kevin Volland,0,0,forwards,0
Kieffer Moore,0,1,forwards,1
Kieran Tierney,0,0,defenders,0
Kieran Trippier,1,0,defenders,1
Kingsley Coman,0,0,midfielders,0
Kire Ristevski,0,0,defenders,0
Konrad Laimer,1,0,midfielders,1
Kristoffer Olsson,0,0,midfielders,0
Kyle Walker,0,0,defenders,0
Kylian Mbappé,1,0,forwards,1
Lassi Lappalainen,0,0,forwards,0
Leander Dendoncker,0,0,midfielders,0
Leandro Trossard,0,0,forwards,0
Leo Väisänen,0,0,defenders,0
Leon Goretzka,0,1,midfielders,1
Leonardo Bonucci,0,1,defenders,1
Leonardo Spinazzola,2,0,defenders,2
Leroy Sané,0,0,midfielders,0
Liam Cooper,0,0,defenders,0
Lorenzo Insigne,0,2,forwards,2
Loris Benito,0,0,defenders,0
Louis Schaub,1,0,midfielders,1
Loïc Négo,0,0,defenders,0
Lubomír Šatka,0,0,defenders,0
Lucas Digne,0,0,defenders,0
Lucas Hernandez,1,0,defenders,1
Ludwig Augustinsson,0,0,defenders,0
Luka Ivanušec,0,0,midfielders,0
Luka Modric,1,1,midfielders,2
Lukas Hradecky,0,0,goalkeepers,0
Luke Shaw,3,1,defenders,4
Lukáš Haraslín,0,0,midfielders,0
Lukáš Masopust,0,0,midfielders,0
Luuk de Jong,0,0,forwards,0
Lyndon Dykes,0,0,forwards,0
László Bénes,0,0,midfielders,0
László Kleinheisler,0,0,midfielders,0
Maarten Stekelenburg,0,0,goalkeepers,0
Maciej Rybus,1,0,defenders,1
Magomed Ozdoev,0,0,midfielders,0
Maksim Mukhin,0,0,midfielders,0
Manuel Akanji,0,0,defenders,0
Manuel Locatelli,0,2,midfielders,2
Manuel Neuer,0,0,goalkeepers,0
Marcel Halstenberg,0,0,defenders,0
Marcel Sabitzer,1,0,midfielders,1
Marcelo Brozovic,0,0,midfielders,0
Marco Verratti,3,0,midfielders,3
Marcos Llorente,0,0,midfielders,0
Marcus Berg,0,0,forwards,0
Marcus Danielson,0,0,defenders,0
Marcus Forss,0,0,forwards,0
Marcus Rashford,0,0,forwards,0
Marcus Thuram,0,0,forwards,0
Marek Hamšík,1,0,midfielders,1
Mario Gavranovic,0,1,forwards,1
Mario Pašalic,0,1,midfielders,1
Marko Arnautovic,0,1,forwards,1
Marten de Roon,0,0,midfielders,0
Martin Braithwaite,0,1,forwards,1
Martin Dúbravka,0,0,goalkeepers,0
Martin Hinteregger,0,0,defenders,0
Martin Koscelník,0,0,defenders,0
Mason Mount,1,0,midfielders,1
Matej Vydra,0,0,forwards,0
Mateo Kovacic,1,0,midfielders,1
Mateusz Klich,0,0,midfielders,0
Mathias Jensen,1,0,midfielders,1
Mats Hummels,1,0,defenders,1
Matteo Pessina,0,2,midfielders,2
Matthias Ginter,0,0,defenders,0
Matthijs de Ligt,0,0,defenders,0
Matvei Safonov,0,0,goalkeepers,0
Memphis Depay,2,2,forwards,4
Michael Gregoritsch,0,1,forwards,1
Michael Krmencík,0,0,forwards,0
Michal Duriš,0,0,forwards,0
Michal Sadílek,0,0,midfielders,0
Michy Batshuayi,0,0,forwards,0
Mikael Lustig,0,0,defenders,0
Mikel Oyarzabal,0,1,forwards,1
Mikkel Damsgaard,1,2,forwards,3
Milan Ristovski,0,0,midfielders,0
Milan Škriniar,0,1,defenders,1
